PlayerVelocity,CurrentMood, Jumping, Sprinting, Health,Velocity,IsJumping,IsSprinting,Health,Mood
4.67,EAudioMood::Tense,1.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
1141.81,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1205.89,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1106.86,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1247.1,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1200.18,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1132.08,EAudioMood::Tense,0.0,1.0,60.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
620.62,EAudioMood::Calm,1.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
685.41,EAudioMood::Calm,1.0,0.0,100.0,,,,,
606.18,EAudioMood::Calm,1.0,0.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1202.54,EAudioMood::Tense,1.0,1.0,100.0,,,,,
1230.66,EAudioMood::Tense,1.0,1.0,100.0,,,,,
586.94,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1210.6,EAudioMood::Tense,1.0,1.0,80.0,,,,,
1200.54,EAudioMood::Tense,1.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1232.5,EAudioMood::Tense,1.0,1.0,80.0,,,,,
1143.72,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.82,EAudioMood::Tense,1.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.16,EAudioMood::Tense,1.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1271.77,EAudioMood::Tense,1.0,1.0,60.0,,,,,
479.86,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1249.02,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1085.06,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1211.7,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1215.16,EAudioMood::Tense,1.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
701.9,EAudioMood::Action,1.0,0.0,40.0,,,,,
677.12,EAudioMood::Action,1.0,0.0,40.0,,,,,
788.4,EAudioMood::Action,0.0,1.0,40.0,,,,,
1225.46,EAudioMood::Action,1.0,1.0,40.0,,,,,
1223.67,EAudioMood::Action,1.0,1.0,40.0,,,,,
1200.0,EAudioMood::Action,0.0,1.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
693.75,EAudioMood::Action,1.0,0.0,40.0,,,,,
601.16,EAudioMood::Action,1.0,0.0,40.0,,,,,
673.37,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
643.78,EAudioMood::Action,1.0,0.0,40.0,,,,,
614.82,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
224.0,EAudioMood::Calm,1.0,0.0,80.0,,,,,
273.07,EAudioMood::Calm,0.0,0.0,80.0,,,,,
502.93,EAudioMood::Calm,0.0,0.0,60.0,,,,,
53.67,EAudioMood::Calm,1.0,0.0,60.0,,,,,
282.71,EAudioMood::Calm,0.0,0.0,60.0,,,,,
139.36,EAudioMood::Action,0.0,0.0,40.0,,,,,
298.67,EAudioMood::Action,1.0,0.0,40.0,,,,,
315.01,EAudioMood::Action,1.0,0.0,40.0,,,,,
224.0,EAudioMood::Action,1.0,0.0,40.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
380.34,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
693.45,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
1167.39,EAudioMood::Action,1.0,1.0,40.0,,,,,
1227.14,EAudioMood::Action,1.0,1.0,40.0,,,,,
1211.54,EAudioMood::Action,1.0,1.0,40.0,,,,,
1202.04,EAudioMood::Action,1.0,1.0,40.0,,,,,
1205.77,EAudioMood::Action,1.0,1.0,40.0,,,,,
